"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"85",85,21.46,29.7,10.8,6.1,1.42,3.18,22.92,21.94,14,29.46,74.24,72.2799542578529,88.32,43.46,0.417939906957404,0.507669863419271,0.389213100216177,0.557807091346133,0.696062746219232,1.02465958976097,0.361620500387587,0.508701275740649,0.319806677072085,0.675597197145349,0.153183663728436,0.385540611144895,0.173942569528368,0.498930088804092,0.641654979994057,0.522750732645158
"86",86,29.7,29,14.88,5.88,2.74,1.34,28.2,13.92,21.92,29.48,82.38,70.665518272215,93.52,51.4,0.536021717317471,0.45021022221126,0.560052615096643,0.389183703798251,0.698156406604074,0.673012297343172,0.292567216946873,0.217853708271269,0.482341926576705,0.399583063116259,0.240294339571918,0.246874237612604,0.28562157298369,0.292473717441068,0.719995597373118,0.625388567504763
"87",87,29,8.48,2.86,1.4,0.94,3.88,49.32,14.94,29.42,13.98,101.44,98.2364642301248,107.66,43.4,0.731424389468419,0.597055243886559,1.14444869525104,0.737942739903121,2.36114877908663,1.12736778777271,1.04043845029467,0.791618277605798,1.34164157357875,0.679945838026213,0.720810681638938,0.431619769119769,1.30425597875705,0.60389334364009,0.671285714285714,0.561762270409329
"88",88,8.48,9.7,4.4,11.46,1.82,3.24,8.96,5.16,5.4,23.52,25.28,60.6914979744889,43.04,28.92,0.333692941481154,0.328510485373743,0.207396043941531,0.199752518475176,0.680628383111294,0.820101021224473,0.209533183280909,0.420214793908741,0.04321800834424,0.183481964372696,-0.0211179910560716,0.000432002208317998,-0.0197934679730602,0.00058067089113087,0.27864623096202,0.245549356183736
"89",89,9.7,11.38,2.12,1.22,5.5,0,28.34,6.12,18.26,10.42,58,59.7195200948882,63.14,28.68,0.73817448036887,0.545395036940471,1.03123711122174,0.47523723735079,1.58881169399679,1.74839517869744,NA,0.449613934309249,1.25214804302515,0.36304926257421,0.578039266289266,0.288122405372405,0.965364537392869,0.364263143947655,0.644,0.5076554001554
"90",90,11.38,0,0,0,0,0,63.22,0.76,16.46,0.08,80.5,NA,80.52,16.54,0.989727654541458,0.794100665552326,2.85684189415215,0.274653072167027,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.75
"91",91,0,0,0,0,0,0.44,0,0,0,0.84,0,NA,0.84,0.84,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"92",92,0,0,0,0,0.44,0,0,0,0,0.84,0,NA,0.84,0.84,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"93",93,0,0.86,0,0,0,0,15.42,0.86,0.46,0.38,16.74,NA,17.12,0.84,0.929968616952363,0.954327660729363,0.324559803180638,0.689889930488757,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0
"94",94,0.86,15.98,0,0,0,0,61.14,16.24,1.1,0.14,78.56,NA,78.62,1.24,0.791451109785344,0.984450656893118,1.01140426470735,2.82241515110095,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,0.583333333333333
"95",95,15.98,0,0,0,0,0.74,39.12,3.2,15.14,1.24,58.36,NA,58.7,16.38,0.92432766135225,0.720508418653871,2.48599196606324,1.1459786377699,NA,NA,NA,NA,2.68753923781814,NA,0.954983927579129,NA,2.68753923781814,NA,NA,0.742063492063492
"96",96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",97,0,21.74,0,0,2.1,NA,93.34,20.58,2.24,2.2,117.32,NA,118.36,4.44,0.80747343452385,0.962620255986604,0.694073483036325,2.35419315207257,NA,NA,NA,NA,NA,2.33250662108123,NA,0.902087978312201,NA,2.33250662108123,NA,0.518794326241135
"98",98,21.74,NA,NA,NA,NA,NA,47.48,NA,22.78,NA,70.26,NA,70.26,22.78,1,0.675982931414055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
