"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"81",81,2.12,3.6,1.04,0.36,0.66,0.1,4.24,1.96,1.14,4.62,9.64,8.50350298699069,11.96,5.76,0.448039210789211,0.514018648018648,0.229307700809129,0.359516627266196,0.579377251607708,0.990735733858322,0.478344452651483,0.584197500041415,0.494389007240343,0.672698163660702,0.35952380952381,0.385333333333333,0.445561794410649,0.595274143442544,0.755555555555556,0.508952380952381
"82",82,3.6,4.7,0.9,0.24,0.14,0.6,5.36,4.98,2.56,4.02,14.64,11.2906634797827,16.92,6.58,0.46761765934444,0.612465059708094,0.539260563679436,0.86577148761543,1.05904711978315,1.33790035343829,0.693190584920707,1.1723456715073,0.826598823400507,1.23429649536795,0.507,0.71697619047619,0.742442279685119,1.14643334369372,0.785526315789474,0.409857142857143
"83",83,4.7,3.18,1.38,0.9,0.36,1.24,6.08,1.86,2.84,6.16,13.66,14.9914454670276,16.94,9,0.525675766527934,0.469504763038819,0.379047379774933,0.267638982301002,1.07603880640098,0.694251770849172,0.686149234910476,0.561940916140672,0.500729751649271,0.449410254389863,0.328793650793651,0.265380952380952,0.459140920815674,0.325082170629641,0.592361111111111,0.46
"84",84,3.18,3.78,1.16,0.78,1.08,1.32,2.7,1.92,1.44,6.58,9.28,10.1190355112103,12.64,8.02,0.32681524031524,0.361798673548674,0.19963841723985,0.24985172210782,0.845934795798044,1.05134421243483,0.345092487601809,0.666388647081513,0.227334859095843,0.414446506117937,0.180833333333333,0.307269841269841,0.246477113623731,0.427018679306384,0.585416666666667,0.491992063492063
"85",85,3.78,4.48,1.84,1.14,1.3,0.42,3.24,1.98,2.04,6.46,10.4,12.569474751103,13.72,8.5,0.377200671877142,0.377460554151731,0.271819395930082,0.276031381710606,0.711666388472808,0.914012281708899,0.460114925468601,0.515282417652791,0.371983862556743,0.291006257856298,0.223190476190476,0.207904761904762,0.296915503051713,0.270484145898671,0.623333333333333,0.486087301587302
"86",86,4.48,6.76,2.44,0.64,0.96,0.12,2.48,2.84,3.06,5.38,12.7,11.9675764325191,13.76,8.44,0.404659947895242,0.383486146206734,0.469401902579381,0.429382181090537,0.646881526554774,1.07295892413506,0.545471189819092,0.578212619742792,0.509570978645952,0.648717617022088,0.263904761904762,0.395242424242424,0.36160341473734,0.566671362384663,0.801020408163265,0.808333333333333
"87",87,6.76,8.32,1.7,0.36,0.02,0.06,6.84,7.68,5.88,2.34,22.32,18.4900342614225,22.74,8.22,0.560252666479211,0.635748388140379,1.25756078825682,1.47237168716064,1.29723748813797,1.52587169464239,0.970892309157396,1.25209941410983,1.20596189939519,1.44829851405206,0.660611111111111,0.731371628371628,1.12773941143528,1.36118479996223,0.831560283687943,0.838652482269504
"88",88,8.32,7.96,3.12,1.06,0.18,0.4,5.94,4.88,5.24,4.78,19.52,19.0464637542231,20.84,10.02,0.535993551071354,0.520654214587853,0.766867511770981,0.742592744680531,1.0277304193256,0.979789766532666,0.808072935132725,0.823690732799165,0.753278742981326,0.760781755872354,0.448467532467532,0.404103174603175,0.63175086782346,0.57017928146076,0.743285714285714,0.727738095238095
"89",89,7.96,2.62,0.96,0.38,0.52,NA,6.24,1.36,7.78,1.88,16.64,15.2101759845736,17.26,9.66,0.813317718315396,0.437007199370976,1.61173962404896,0.548205013960984,1.81241293166215,0.750909402112388,NA,0.458429709551906,NA,0.468446947538104,NA,0.364625850340136,NA,0.410658420798848,0.730769230769231,0.717829457364341
"90",90,2.62,NA,NA,NA,NA,NA,6.58,NA,3.24,NA,9.82,NA,9.82,3.24,1,0.67287012987013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
