"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"76",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",77,0,0,0,0,0,0,2.2,0.8,0.84,6.88,5.1,NA,10.72,7.72,0.285024087024087,0.281317016317016,0.118024144219562,0.1116096666265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18
"78",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",81,0,0,0,0,0,0,22.14,2.22,5.3,2.38,30.28,NA,32.04,7.68,0.856846099512076,0.760465290038975,1.22969869569829,0.705475599649228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.277210884353741
"82",82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",84,0,1.64,0,0,0,0,8.54,0.4,1.86,2.74,12.14,NA,13.54,4.6,0.77010989010989,0.662857142857143,0.56101064395214,0.144441924811786,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.498299319727891
"85",85,1.64,3.38,0.3,0.1,0,NA,11.46,2.7,2.26,0.88,17.1,6.38291293403418,17.3,3.14,0.792297123670216,0.817189212588163,0.924865387582148,1.14722069537691,0.423740510713059,1.35775748636351,NA,NA,NA,1.38720606018403,NA,0.874666666666667,NA,1.21391926504404,0.75,0.75
"86",86,3.38,NA,NA,NA,NA,NA,4,NA,3.58,NA,7.58,NA,7.58,3.58,1,0.524949494949495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
