"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99"
"35",NA,NA,12,14,18,10,15,9,9,9,4,14,2,20,11,9,11,6,15,NA,NA,5,17,17,7,3,5,14,22,16,21,23,18,27,13,29,26,35,25,44,24,12,27,14,16,13,50,42,14,22,14,13,55,57,96,100,93,103,89,82,64,36,13,29,27,31,35,49,49,32,39,71,105,113,57,41,45,38,43,49,47,43,46,23,29,39,40,14,35,20,4,5,6,1,NA,3,NA,1,NA
"36",NA,NA,10,16,14,10,16,8,11,5,5,12,2,22,10,9,10,5,17,NA,NA,6,15,23,10,4,6,14,20,16,19,20,19,24,15,29,29,33,23,42,26,22,25,15,13,10,49,42,16,23,12,12,52,61,90,104,87,96,81,78,72,30,12,24,32,30,38,47,49,30,33,69,101,101,68,41,48,38,45,50,49,48,44,22,28,29,36,14,36,17,4,5,5,1,NA,4,NA,1,NA
"37",NA,NA,12,16,14,10,16,8,9,6,4,15,1,23,10,10,9,8,16,NA,NA,6,15,17,9,2,7,10,16,19,19,21,17,29,13,28,37,36,25,41,25,15,25,17,12,10,46,48,20,24,15,15,53,58,92,105,90,100,89,82,64,31,11,25,31,31,36,49,48,36,38,75,101,101,48,50,43,43,52,44,50,49,46,26,32,36,34,13,32,18,5,5,5,1,NA,4,NA,1,NA
"38",NA,NA,12,14,14,10,17,10,10,6,4,12,1,22,11,10,11,5,15,NA,NA,6,13,18,8,3,6,18,19,14,19,19,18,25,15,29,34,33,20,44,24,15,23,15,13,14,45,43,16,22,14,14,60,60,89,106,88,96,85,82,61,31,15,27,36,29,40,50,49,30,43,68,97,102,58,39,48,41,45,51,47,48,49,28,37,32,41,14,30,16,4,5,5,1,NA,3,NA,1,NA
"39",NA,NA,11,18,16,9,20,8,11,6,5,14,1,21,10,9,12,7,15,NA,NA,5,12,14,8,3,4,17,16,17,18,19,21,25,11,28,34,32,25,45,26,14,28,17,13,13,46,47,20,28,12,10,56,70,101,100,91,105,70,79,60,36,14,23,40,31,37,44,59,32,36,78,114,104,59,45,45,41,53,50,44,51,43,24,37,33,32,15,33,19,4,5,4,1,NA,4,NA,1,NA
"40",NA,NA,13,17,14,10,16,10,8,7,5,10,1,24,12,12,10,6,17,NA,NA,5,15,14,8,3,8,13,18,18,20,23,19,25,12,31,30,34,25,42,26,15,23,15,12,16,46,44,20,25,15,14,49,57,93,106,98,101,77,86,68,29,14,30,30,31,42,47,47,30,34,75,104,106,64,42,49,41,50,41,46,49,44,23,29,30,34,16,37,23,4,5,4,1,NA,3,NA,1,NA
"41",NA,NA,12,14,14,9,18,9,9,7,4,11,1,22,10,12,10,5,13,NA,NA,5,16,15,8,3,6,14,18,16,20,22,19,27,12,28,29,39,26,43,26,16,31,20,14,14,49,41,15,28,12,10,50,60,84,102,93,104,72,78,65,32,17,31,30,29,43,50,58,30,36,76,105,98,54,40,43,40,51,45,42,51,47,24,26,31,40,15,33,16,5,5,5,1,NA,5,NA,1,NA
"42",NA,NA,11,15,18,9,15,8,10,6,5,13,2,22,11,10,10,7,18,NA,NA,5,12,18,7,3,6,12,19,17,20,18,17,26,14,30,28,37,30,46,27,20,28,17,12,13,46,48,17,26,13,11,61,48,90,103,95,94,79,79,70,36,13,31,31,35,37,55,49,28,33,71,103,99,61,36,43,38,51,45,50,47,50,30,32,32,39,14,38,17,6,5,4,1,NA,3,NA,1,NA
"43",NA,NA,10,17,13,11,17,9,11,6,7,15,1,19,11,12,9,6,15,NA,NA,5,12,19,7,2,4,16,14,16,19,18,20,25,16,29,29,34,29,48,27,13,23,18,15,12,46,50,14,27,14,12,55,59,95,93,88,89,78,70,59,30,12,22,30,30,39,46,51,35,28,74,108,105,60,37,45,44,47,49,55,45,44,25,32,34,36,14,30,18,5,5,6,1,NA,3,NA,1,NA
"44",NA,NA,9,15,12,10,17,8,11,7,5,13,1,23,9,10,10,5,18,NA,NA,6,14,15,8,3,7,13,18,16,20,21,21,28,11,28,30,29,23,45,29,12,21,21,13,15,51,43,13,23,13,13,59,63,83,108,101,98,83,79,68,29,13,27,32,37,34,49,50,31,39,71,107,106,54,42,45,40,43,51,41,50,43,25,35,32,39,10,28,21,4,5,5,1,NA,4,NA,1,NA
"45",NA,NA,11,15,14,12,17,9,13,6,4,12,1,20,11,10,10,6,15,NA,NA,5,12,21,7,3,4,15,15,15,21,21,22,27,14,26,29,39,26,44,32,20,31,16,13,9,50,47,12,27,14,10,58,55,103,92,93,99,86,82,61,41,16,30,31,32,45,49,55,33,30,73,106,99,60,38,44,43,48,46,44,45,46,27,32,35,39,13,34,15,5,5,6,1,NA,4,NA,1,NA
"46",NA,NA,13,16,17,11,16,8,9,9,4,11,3,23,12,12,10,6,13,NA,NA,6,15,16,8,3,4,16,21,21,21,22,15,26,15,30,36,29,31,41,28,16,22,16,13,13,54,43,13,24,15,12,56,62,96,105,86,100,79,77,70,34,12,23,30,31,49,46,59,33,28,72,94,102,61,42,44,42,47,51,48,45,46,25,33,30,38,16,29,18,4,5,5,1,NA,4,NA,1,NA
"47",NA,NA,12,16,11,11,15,9,8,5,4,13,4,22,12,10,13,6,16,NA,NA,5,15,18,10,4,10,15,19,17,19,19,18,24,16,30,33,29,29,44,25,13,23,18,10,11,50,44,14,24,11,13,66,62,98,102,90,105,85,85,64,29,11,25,29,32,41,47,50,32,32,70,103,102,64,37,46,37,49,46,42,51,50,26,36,30,34,14,37,18,5,5,4,1,NA,4,NA,1,NA
"48",NA,NA,8,15,14,11,15,9,11,8,4,12,2,24,11,10,8,5,18,NA,NA,6,11,15,9,4,6,11,17,17,22,27,17,27,16,31,31,30,28,50,29,16,26,15,16,14,46,49,11,26,15,10,52,62,87,95,91,102,80,85,65,37,13,28,30,37,38,53,53,26,32,68,105,110,60,39,44,40,53,50,46,49,46,21,42,33,34,13,29,15,5,5,5,1,NA,4,NA,1,NA
"49",NA,NA,11,18,14,11,16,11,13,8,4,11,2,21,10,13,12,4,17,NA,NA,6,15,19,8,2,5,15,15,15,20,23,13,28,16,27,27,30,29,41,23,12,27,17,10,17,50,41,22,25,14,11,53,55,95,104,96,90,83,74,67,32,11,24,28,33,40,54,52,33,37,68,101,107,58,43,47,42,50,49,42,48,49,25,36,32,34,12,37,16,5,5,4,1,NA,4,NA,1,NA
"50",NA,NA,12,15,13,10,15,8,11,5,4,12,1,22,10,11,9,6,17,NA,NA,6,15,17,9,2,5,16,18,14,20,19,19,29,15,29,29,31,26,44,24,12,21,16,11,14,48,50,14,26,17,12,58,63,94,100,86,101,79,80,63,33,16,22,34,32,40,45,59,33,31,70,106,109,59,38,44,45,49,45,45,52,46,23,37,31,32,13,32,17,4,5,7,1,NA,3,NA,1,NA
